Provinsi,DATE,Tmax_C,Tmin_C,Tavg_C,PRCP,Tahun,Triwulan
JAMBI,2023-10-19,31.0,24.0,25.777777777777786,0.35,2023,IV
JAMBI,2023-10-20,31.22222222222222,23.77777777777778,25.944444444444443,0.08,2023,IV
JAMBI,2023-10-21,34.22222222222222,23.277777777777786,28.83333333333333,0.0,2023,IV
JAMBI,2023-10-22,32.0,23.77777777777778,28.61111111111111,0.0,2023,IV
JAMBI,2023-10-23,34.611111111111114,24.0,26.666666666666668,0.67,2023,IV
JAMBI,2023-10-24,30.27777777777778,23.61111111111111,26.55555555555556,99.99,2023,IV
JAMBI,2023-10-25,32.27777777777778,23.88888888888889,27.944444444444443,0.0,2023,IV
JAMBI,2023-10-26,34.388888888888886,24.222222222222214,29.0,0.0,2023,IV
JAMBI,2023-10-27,34.111111111111114,24.0,29.05555555555556,0.0,2023,IV
JAMBI,2023-10-28,34.0,24.72222222222222,28.38888888888889,0.0,2023,IV
JAMBI,2023-10-29,33.111111111111114,25.0,29.11111111111111,0.0,2023,IV
JAMBI,2023-10-30,34.388888888888886,24.27777777777778,28.77777777777778,0.0,2023,IV
JAMBI,2023-10-31,33.388888888888886,24.61111111111111,27.22222222222222,0.87,2023,IV
JAMBI,2023-11-01,33.77777777777778,24.61111111111111,28.277777777777786,0.03,2023,IV
JAMBI,2023-11-02,33.77777777777778,24.222222222222214,28.61111111111111,0.0,2023,IV
JAMBI,2023-11-03,34.0,24.72222222222222,28.77777777777778,0.0,2023,IV
JAMBI,2023-11-04,33.888888888888886,24.72222222222222,28.444444444444443,0.0,2023,IV
JAMBI,2023-11-05,34.77777777777778,24.388888888888893,28.38888888888889,0.0,2023,IV
JAMBI,2023-11-06,32.27777777777778,23.77777777777778,26.666666666666668,0.2,2023,IV
JAMBI,2023-11-07,31.22222222222222,23.5,28.000000000000004,0.0,2023,IV
JAMBI,2023-11-08,33.611111111111114,24.388888888888893,29.0,0.0,2023,IV
JAMBI,2023-11-09,32.22222222222222,24.5,26.77777777777778,0.0,2023,IV
JAMBI,2023-11-10,32.77777777777778,23.88888888888889,28.444444444444443,0.0,2023,IV
JAMBI,2023-11-11,33.0,24.222222222222214,27.5,0.0,2023,IV
JAMBI,2023-11-12,30.22222222222222,24.388888888888893,27.11111111111111,0.0,2023,IV
JAMBI,2023-11-13,34.22222222222222,24.0,28.666666666666668,0.24,2023,IV
JAMBI,2023-11-14,30.11111111111111,24.0,25.222222222222225,0.75,2023,IV
JAMBI,2023-11-15,34.77777777777778,23.000000000000004,29.55555555555556,0.0,2023,IV
JAMBI,2023-11-16,29.22222222222222,23.77777777777778,26.38888888888889,1.5,2023,IV
JAMBI,2023-11-17,34.22222222222222,24.27777777777778,27.555555555555557,0.0,2023,IV
JAMBI,2023-11-18,32.888888888888886,24.222222222222214,27.33333333333333,0.0,2023,IV
JAMBI,2023-11-19,33.388888888888886,24.388888888888893,28.83333333333333,0.0,2023,IV
JAMBI,2023-11-20,32.22222222222222,25.222222222222225,28.33333333333333,0.0,2023,IV
JAMBI,2023-11-21,33.0,24.388888888888893,27.83333333333333,0.35,2023,IV
JAMBI,2023-11-22,28.000000000000004,24.77777777777777,26.0,0.02,2023,IV
JAMBI,2023-11-23,33.22222222222222,24.388888888888893,28.277777777777786,0.0,2023,IV
JAMBI,2023-11-24,32.0,24.0,28.000000000000004,0.0,2023,IV
JAMBI,2023-11-25,29.61111111111111,22.38888888888889,25.88888888888889,0.03,2023,IV
JAMBI,2023-11-26,32.22222222222222,22.61111111111111,27.16666666666667,0.0,2023,IV
JAMBI,2023-11-27,30.77777777777778,24.0,25.83333333333333,0.0,2023,IV
JAMBI,2023-11-28,34.0,24.222222222222214,29.0,0.0,2023,IV
JAMBI,2023-11-29,31.38888888888889,24.111111111111114,27.555555555555557,0.0,2023,IV
JAMBI,2023-11-30,28.88888888888889,23.72222222222222,25.055555555555557,0.83,2023,IV
JAMBI,2023-12-01,30.61111111111111,23.38888888888889,26.444444444444443,0.87,2023,IV
JAMBI,2023-12-02,32.22222222222222,24.111111111111114,27.77777777777778,0.31,2023,IV
JAMBI,2023-12-03,29.88888888888889,23.61111111111111,26.5,0.17,2023,IV
JAMBI,2023-12-04,32.22222222222222,23.38888888888889,27.722222222222225,0.0,2023,IV
JAMBI,2023-12-05,32.388888888888886,23.88888888888889,27.27777777777777,0.28,2023,IV
JAMBI,2023-12-06,29.22222222222222,23.77777777777778,25.55555555555556,0.13,2023,IV
JAMBI,2023-12-07,32.0,23.72222222222222,28.277777777777786,0.0,2023,IV
JAMBI,2023-12-08,31.61111111111111,23.38888888888889,28.83333333333333,0.0,2023,IV
JAMBI,2023-12-09,30.22222222222222,24.5,26.77777777777778,0.02,2023,IV
JAMBI,2023-12-10,31.61111111111111,24.0,27.16666666666667,0.24,2023,IV
JAMBI,2023-12-11,32.611111111111114,24.222222222222214,27.05555555555556,0.16,2023,IV
JAMBI,2023-12-12,29.77777777777778,24.61111111111111,26.722222222222214,0.04,2023,IV
JAMBI,2023-12-13,32.27777777777778,25.0,28.444444444444443,0.0,2023,IV
JAMBI,2023-12-14,33.77777777777778,25.0,28.33333333333333,0.0,2023,IV
JAMBI,2023-12-15,33.0,25.38888888888889,28.61111111111111,0.0,2023,IV
JAMBI,2023-12-16,32.0,25.38888888888889,28.444444444444443,0.01,2023,IV
JAMBI,2023-12-17,32.22222222222222,24.77777777777777,26.944444444444443,0.2,2023,IV
JAMBI,2023-12-18,32.27777777777778,24.222222222222214,27.05555555555556,0.0,2023,IV
JAMBI,2023-12-19,31.61111111111111,24.61111111111111,26.944444444444443,0.39,2023,IV
JAMBI,2023-12-20,31.72222222222222,24.222222222222214,27.05555555555556,0.05,2023,IV
JAMBI,2023-12-21,29.22222222222222,24.27777777777778,25.777777777777786,0.94,2023,IV
JAMBI,2023-12-22,30.0,24.111111111111114,26.5,0.59,2023,IV
JAMBI,2023-12-23,32.22222222222222,24.5,28.111111111111107,0.0,2023,IV
JAMBI,2023-12-24,33.72222222222222,24.27777777777778,27.5,1.5,2023,IV
JAMBI,2023-12-25,31.38888888888889,23.77777777777778,27.444444444444446,0.0,2023,IV
JAMBI,2023-12-26,30.38888888888889,24.388888888888893,27.77777777777778,0.0,2023,IV
JAMBI,2023-12-27,30.38888888888889,25.0,27.22222222222222,0.0,2023,IV
JAMBI,2023-12-28,32.5,24.77777777777777,28.55555555555556,0.0,2023,IV
JAMBI,2023-12-29,33.0,24.77777777777777,27.88888888888889,0.12,2023,IV
JAMBI,2023-12-30,33.388888888888886,25.27777777777778,27.16666666666667,0.12,2023,IV
JAMBI,2023-12-31,32.22222222222222,24.88888888888889,26.666666666666668,0.24,2023,IV
LAMPUNG,2018-01-01,32.77777777777778,23.38888888888889,27.61111111111111,0.0,2018,I
LAMPUNG,2018-01-02,33.388888888888886,23.77777777777778,27.0,0.28,2018,I
LAMPUNG,2018-01-03,32.388888888888886,23.61111111111111,27.05555555555556,0.0,2018,I
LAMPUNG,2018-01-04,32.611111111111114,23.61111111111111,26.166666666666664,0.12,2018,I
LAMPUNG,2018-01-05,30.38888888888889,23.111111111111107,25.38888888888889,1.02,2018,I
LAMPUNG,2018-01-06,31.11111111111111,23.000000000000004,26.333333333333336,0.0,2018,I
LAMPUNG,2018-01-07,29.61111111111111,23.277777777777786,26.333333333333336,0.0,2018,I
LAMPUNG,2018-01-08,32.27777777777778,23.38888888888889,26.888888888888893,0.1,2018,I
LAMPUNG,2018-01-09,32.611111111111114,23.38888888888889,25.83333333333333,0.47,2018,I
LAMPUNG,2018-01-10,31.61111111111111,22.0,24.55555555555556,1.5,2018,I
LAMPUNG,2018-01-11,31.88888888888889,22.22222222222222,26.0,0.02,2018,I
LAMPUNG,2018-01-12,31.22222222222222,22.38888888888889,26.83333333333333,0.0,2018,I
LAMPUNG,2018-01-13,29.38888888888889,23.22222222222222,26.611111111111114,0.0,2018,I
LAMPUNG,2018-01-14,31.0,23.38888888888889,26.666666666666668,0.28,2018,I
LAMPUNG,2018-01-15,31.61111111111111,23.77777777777778,26.666666666666668,0.0,2018,I
LAMPUNG,2018-01-16,28.77777777777778,23.000000000000004,25.611111111111107,0.0,2018,I
LAMPUNG,2018-01-17,30.61111111111111,23.22222222222222,27.38888888888889,0.0,2018,I
